t_s,h_Wm2K
1.479899497487437188e+01,5.135200548912894902e+01
1.577889447236180942e+01,5.134664798582705458e+01
1.675879396984924696e+01,5.134423958119828768e+01
1.773869346733668451e+01,5.134315691031056161e+01
1.871859296482411850e+01,5.134267020793624425e+01
1.969849246231155604e+01,5.134245141642364985e+01
2.000000000000000000e+01,5.134241244932365333e+01
2.067839195979899358e+01,5.134235306118951314e+01
2.165829145728643113e+01,5.134230884671351447e+01
2.263819095477386867e+01,5.134228897059908547e+01
2.361809045226130621e+01,5.134228003551808683e+01
2.459798994974874375e+01,5.134227601885412184e+01
2.557788944723618130e+01,5.134227421320855456e+01
2.655778894472361884e+01,5.134227340150114571e+01
2.753768844221105638e+01,5.134227303660731678e+01
2.851758793969849393e+01,5.134227287257344585e+01
2.949748743718593147e+01,5.134227279883388917e+01
3.047738693467336901e+01,5.134227276568510945e+01
3.145728643216080300e+01,5.134227275078345798e+01
3.243718592964823699e+01,5.134227274408458186e+01
3.341708542713567454e+01,5.134227274107318095e+01
3.439698492462311208e+01,5.134227273971944072e+01
3.537688442211054962e+01,5.134227273911088218e+01
3.635678391959798716e+01,5.134227273883731613e+01
3.733668341708542471e+01,5.134227273871433539e+01
3.831658291457286225e+01,5.134227273865904806e+01
3.929648241206029979e+01,5.134227273863419327e+01
4.000000000000000000e+01,5.134227273862533281e+01
4.027638190954773734e+01,5.134227273862302354e+01
4.125628140703517488e+01,5.134227273861800001e+01
4.223618090452261242e+01,5.134227273861574048e+01
4.321608040201004997e+01,5.134227273861473151e+01
4.419597989949748751e+01,5.134227273861426966e+01
4.517587939698492505e+01,5.134227273861407070e+01
4.615577889447236259e+01,5.134227273861397833e+01
4.713567839195980014e+01,5.134227273861393570e+01
4.811557788944723768e+01,5.134227273861391438e+01
4.909547738693467522e+01,5.134227273861390728e+01
5.007537688442211277e+01,5.134227273861390017e+01
5.105527638190955031e+01,5.134227273861390017e+01
5.203517587939698785e+01,5.134227273861390017e+01
